index,Drug_Name,Reason,Description
3659,Amlonis H Tablet 10's,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
3660,Amlonova 5/50mg Tablet 10'SAmlonova 2.5/25mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
3661,Amlopin 10mg Tablet 10'SAmlopin 5mg Tablet 10'SAmlopin 2.5mg Tablet 10'SAmlopin TL Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
3662,Amlopin AT Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3663,Amlopin M 25mg Tablet 10'SAmlopin M 50mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3664,Amlopres 5mg Tablet 15'SAmlopres 2.5mg Tablet 15'SAmlopres 10mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3665,Amlopres AT 50mg Tablet 15'SAmlopres AT 25mg Tablet 15'SAmlopres AT 50mg Tablet 30'S,Hypertension,lower high blood pressure (hypertension)
3666,Amlopres D 50/5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3667,Amlopres L Tablet 15'SAmlopres L 5/5mg Tablet 10'SAmlopres L 80mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3668,Amlopres NB Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3669,Amlopres TL Tablet 15'SAmlopres TL 40mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
3670,Amlopres Trio 40mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3671,Amlopres VL 5/160mg Tablet 10'SAmlopres VL 160mg Tablet 10'SAmlopres VL 5/80mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
3672,Amlopres Z 50/5mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
3673,Amlopure 2.5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
3674,Amlorite 5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3675,Amlosafe 10mg Tablet 10'SAmlosafe 2.5mg Tablet 10'SAmlosafe 5mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3676,Amlosafe 3D Tablet 7'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3677,Amlosafe AT Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
3678,Amlosafe H Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3679,Amlosafe LS 5/5mg Tablet 10'SAmlosafe LS 2.5mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3680,Amlosafe MT 50mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3681,Amlosafe TM 40mg Tablet 10'SAmlosafe TM 80mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
3682,Amlostat AT Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3683,Amlosun 2.5mg Tablet 10'SAmlosun 5mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
3684,Amloten 5/50mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
3685,Amlotrust 2.5mg Tablet 10'SAmlotrust 5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
3686,Amlovas 5mg Tablet 15'SAmlovas 10mg Tablet 15'SAmlovas OL Tablet 10'SAmlovas 2.5mg Tablet 15'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3687,Amlovas AT 25mg Tablet 15'SAmlovas AT 50mg Tablet 15'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3688,Amlovas CH 5/12.5mg Tablet 10'SAmlovas CH 5/6.25mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3689,Amlovas H Tablet 15'S,Hypertension,lower high blood pressure (hypertension)
3690,Amlovas L Tablet 15'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3691,Amlovas LS Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3692,Amlovas M 2.5/25mg Tablet 10'SAmlovas M 5/25mg Tablet 10'SAmlovas M 5/50mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3693,Amlovas S 5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
3694,Amlovas SN 5/2.5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3695,Amlovas XM 25/5mg Tablet 10'SAmlovas XM 5/50mg Tablet 10'SAmlovas XM 25/2.5mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
3696,AMLOVEL AT 25mg Tablet 10'sAMLOVEL AT 50mg Tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
3697,Amlovin 5mg Tablet 10'SAmlovin 2.5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
3698,Amlovin H 2.5mg Tablet 10'SAmlovin H Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3699,Amlovin R Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3700,Amloz 10mg Tablet 10'SAmloz 2.5mg Tablet 30'SAmloz 2.5mg Tablet 10'SAmloz 5mg Tablet 10'SAmloz 5mg Tablet 30'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3701,Amloz AT 50mg Tablet 14'SAmloz AT 25mg Tablet 14'S,Hypertension,lower high blood pressure (hypertension)
3702,Amloz L Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3703,Amloz TS Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3704,Amlozaar 50mg Tablet 10'SAmlozaar 25mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3705,Amlozaar H Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
3706,AMO 5mg Capsule 10'SAMO 10mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3707,Amodep 10mg Tablet 10'SAmodep 5mg Tablet 14'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
3708,Amodep AT Tablet 14'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
3709,Amodep TM Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
3710,Amodep Tmh 40mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3711,AMOZEN AT Tablet 10's,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3712,Ampace 2.5mg Tablet 10'SAmpace 5mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3713,Ampace AT 5/50mg Tabcap 10'S,Hypertension,lower high blood pressure (hypertension)
3714,AMRAP AT Tablet 10's,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3715,Amset XT 5/50mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3716,Amsten 5/50mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3717,Amtas 10mg Tablet 15'SAmtas M 25mg Tablet 10'SAmtas 2.5mg Tablet 15'SAmtas 2.5mg Tablet 30'SAmtas LP Tablet 10'SAmtas 5mg Tablet 30'S,Hypertension,lower high blood pressure (hypertension)
3718,Amtas AT 25mg Tablet 15'SAmtas AT 25/2.5mg Tablet 10'SAmtas AT 50mg Tablet 15'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3719,Amtas E Tablet 15'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
3720,Amtas HT Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
3721,AMTAS LRT Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
3722,Amtas M 25mg Tablet 15'SAmtas M 50mg Tablet 15'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3723,Amtas Prp Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3724,Amtor 5/10mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3725,Amvasc AT 5/50mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
3726,Amvio 5mg Tablet 14'SAmvio 2.5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3727,Amvio H 5/12.5Mg Tablet 14's,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3728,Amwel 5mg Tablet 10'SAmwel 2.5mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3729,Amwel AT Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
3730,AMZEL 5mg Tablet 15's,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3731,AMZEL EL Tablet 15's,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
3732,Angibloc 25mg Tablet 10'SAngibloc 12.5mg Tablet 10'SAngibloc 50mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
3733,Angibloc AM 50/5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
3734,Angibloc ER 50mg Tablet 10'SAngibloc ER 25mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3735,Angibloc H 50mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3736,Angicam 5mg Tablet 15'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3737,Angicam Beta Tablet 15'S,Hypertension,lower high blood pressure (hypertension)
3738,Angicam H Tablet 10'SANGICAM H Tablet 15's,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3739,Angicam LT Tablet 15'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3740,Angicam M 50mg Tablet 10'SAngicam M 50mg Tablet 15'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3741,Angiopril 25mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
3742,Angiosart H Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3743,Angitel 80mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
3744,Angizaar 50mg Tablet 10'SAngizaar 25mg Tablet 10'SAngizaar H Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
3745,Angizaar AT Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
3746,Angizem 60mg Tablet 10'SAngizem CD 180mg Capsule 10'SAngizem DP 120mg Capsule 10'SAngizem 30mg Tablet 10'SAngizem CD 90mg Capsule 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3747,Angizem CD 120mg Capsule 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3748,Angizem DP 90mg Capsule 10'SAngizem DP 60mg Capsule 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3749,Anol 50mg Tablet 14'SAnol 100mg Tablet 14'S,Hypertension,lower high blood pressure (hypertension)
3750,Anol Plus 5/50mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3751,Antel 20mg Tablet 10'SAntel 40mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3752,Antel H 40/12.5mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3753,ANZE 5mg Tablet 15's,Hypertension,lower high blood pressure (hypertension)
3754,Apresol 25mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3755,Apresol N Tablet 30'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
3756,Aprovel 300mg Tablet 14'SAprovel 150mg Tablet 14'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
3757,Aquiris 12.5mg Tablet 10'SAquiris 6.25mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
3758,Arbace 5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3759,Arbazeal 80mg Tablet 10'SArbazeal 40mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3760,Arbazeal ES 40mg Tablet 10'SArbazeal ES 80mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3761,Arbisaar 25mg Tablet 10'SArbisaar 50mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
3762,Arbitace 50mg Tablet 15'SArbitace 25mg Tablet 15'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3763,Arbitel 80mg Tablet 10'SArbitel AM 80mg Tablet 10'SArbitel 40mg Tablet 10'SArbitel 20mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3764,Arbitel AM 40mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3765,Arbitel Amh Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
3766,Arbitel AV Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3767,Arbitel CT 80mg Tablet 10'SArbitel CT 40mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
3768,Arbitel H 40mg Tablet 10'SArbitel H 80mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
3769,Arbitel MT 50mg Tablet 7'SArbitel MT 25mg Tablet 7'S,Hypertension,lower high blood pressure (hypertension)
3770,Arbitel R 40/5mg Tablet 10'SArbitel R 40/2.5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3771,Arbitel Trio 50mg Tablet 10'SArbitel Trio 25mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3772,Arboh 40/12.5mg Tablet 10'SArboh 20/12.5mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3773,Arbozil 80mg Tablet 10'SArbozil 40mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
3774,Arbozil CT 40/12.5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3775,Arelol SR 25mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3776,Arelol SR 50mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3777,Arkamin 100mcg Tablet 30'SArkamin H 20mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
3778,Arkamin H 12.5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3779,Arminol 20mg Tablet 10'SArminol 40mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
3780,ARPIN 5mg Tablet 15's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
3781,Asar 40mg Tablet 10'SAsar 80mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
3782,Asar CT 80/6.25mg Tablet 10'SAsar CT 40/12.5mg Tablet 10'SAsar CT 80/12.5mg Tablet 10'SAsar CT 40/6.25mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3783,Asart 25mg Tablet 10'SAsart 50mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3784,Asart HT 50/12.5mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3785,Asomet XL 50/5mg Tablet 10'SAsomet XL 25/2.5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
3786,Asomex 2.5mg Tablet 10'SAsomex 2.5mg Tablet 15'SAsomex 1.25mg Tablet 15'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3787,Asomex AT 50/5mg Tablet 10'SAsomex AT 5mg Tablet 15'SAsomex AT 2.5mg Tablet 15'SAsomex AT 5mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3788,Asomex CV 5/10mg Tablet 10'SAsomex CV 2.5/10mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3789,Asomex D 2.5/12.5mg Tablet 10'SAsomex D 2.5mg Tablet 15'SAsomex D 5mg Tablet 15'SAsomex D 5/12.5mg Tablet 90'S,Hypertension,lower high blood pressure (hypertension)
3790,Asomex LT 2.5mg Tablet 15'SAsomex LT 5mg Tablet 10'SAsomex LT 50/2.5mg Tablet 10'SAsomex LT 50/5mg Tablet 10'SAsomex LT 2.5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3791,Asomex Lth 2.5mg Tablet 10'SAsomex Lth 5mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
3792,Asomex OH Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
3793,Asomex OH Forte Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
3794,Asomex R 2.5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3795,Asomex TM 5mg Tablet 15'SAsomex TM 2.5mg Tablet 15'SAsomex TM 40/5mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3796,Astrotel 40Mg Tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3797,ASTROTEL AM 80mg Tablet 10'sASTROTEL AM 40mg Tablet 10's,Hypertension,lower high blood pressure (hypertension)
3798,Astrotel Ct 6.25Mg Tablet 10's,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3799,ASTROTEL H 80mg Tablet 10'sASTROTEL H 40mg Tablet 10's,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3800,ASTROTEL TRIO 40mg Tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3801,AT Beta 50mg Tablet 14'S,Hypertension,lower high blood pressure (hypertension)
3802,Atakare Tablet 10's,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3803,ATALO 10 Tablet 10's,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
3804,Atecard 100mg Tablet 14'SAtecard 25mg Tablet 14'SAtecard 50mg Tablet 14'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
3805,Atecard AM Tablet 14'S,Hypertension,lower high blood pressure (hypertension)
3806,Atecard D Tablet 15'sAtecard D Tablet 14'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3807,Atecard M 50/5mg Captab 14'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3808,Atekind 50mg Tablet 14'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3809,Atelol 100mg Tablet 14'SAtelol 50mg Tablet 14'SAtelol 25mg Tablet 14'S,Hypertension,lower high blood pressure (hypertension)
3810,Atemide 50/1.25mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3811,Aten 100mg Tablet 14'SAten 50mg Tablet 14'SAten 75mg Tablet 14'SAten 25mg Tablet 14'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3812,Aten AM 25mg Tablet 14'SAten AM 25/5mg Tablet 10'SAten AM 50mg Tablet 14'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3813,Aten D Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
3814,Aten H 12.5mg Tablet 10'SAten H 25mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3815,Aten L Tablet 2'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
3816,Atenex 25mg Tablet 14'SAtenex 100mg Tablet 14'SAtenex 50mg Tablet 14'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
3817,Atenex AM 50/5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
3818,Atenolol(Cipla) 25mg Tablet 14'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3819,Atenopress 25mg Tablet 14'SAtenopress 50mg Tablet 14'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3820,Atenova 25mg Tablet 14'SAtenova 100mg Tablet 14'SAtenova 50mg Tablet 14'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3821,Atenova SA 25mg Capsule 14'SAtenova SA 50mg Capsule 14'S,Hypertension,lower high blood pressure (hypertension)
3822,Atepres 50mg Tablet 14'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3823,Atese 50mg Tablet 14'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3824,Atloma Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3825,Atol 50mg Tablet 14'SAtol 100mg Tablet 14'SAtol 25mg Tablet 14'S,Hypertension,lower high blood pressure (hypertension)
3826,Atol AM Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3827,Atol H 50mg Tablet 10'SAtol H 25mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
3828,Atol L Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
3829,Atolam 5/50mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
3830,Atorin 40mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3831,Atpark 100mg Tablet 14'SAtpark 50mg Tablet 14'SAtpark 25mg Tablet 14'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3832,Atpine 5/50Mg Tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3833,Atpure 25mg Tablet 14'SAtpure 12.5mg Tablet 14'SAtpure 50mg Tablet 14'S,Hypertension,lower high blood pressure (hypertension)
3834,Atpure D 25/12.5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3835,Atpure SA Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3836,Atstat AM Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3837,ATVEL 10mg Tablet 10's,Hypertension,lower high blood pressure (hypertension)
3838,Atzaar 25mg Tablet 10'SAtzaar 50mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3839,Atzaar H 50/12.5 Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
3840,ATZEE 50mg Tablet 14's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
3841,ATZEE AM Tablet 15's,Hypertension,lower high blood pressure (hypertension)
3842,Avacard 5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3843,Avacard AT 50/5mg Tablet 10'SAvacard AT 5/50mg Tablet 15'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3844,AVAS 10mg Tablet 30's,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3845,Avopril AS Capsule 10'S,Hypertension,lower high blood pressure (hypertension)
3846,Axeten 40mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3847,Axeten AM Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3848,Axeten H 40mg Tablet 10'SAxeten H 80mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3849,Azar 40mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
3850,Azarbi 80mg Tablet 10'SAzarbi 40mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3851,Azearly 80mg Tablet 10'SAzearly 40mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
3852,Azilcad 40mg Tablet 10'SAzilcad 80mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
3853,Azildac 40mg Tablet 10'SAzildac 80mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
3854,Azildac CT 40/12.5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
3855,Azilday 40mg Tablet 10'SAzilday 80mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
3856,AZILMA 80MG TABLET 10'SAZILMA 40MG TABLET 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
3857,Azilpack 40mg Tablet 10'SAzilpack 80mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
